method,mean_initial,sd_initial,alpha
CSVI,-12.16490399985,1.0,100000
CSVI,4.91698347495103,1.0,100000
CSVI,4.149559242524526,1.0,100000
CSVI,-3.2074440231509946,1.0,100000
CSVI,-5.516806122636273,1.0,100000
CSVI,-3.793011422206316,1.0,100000
CSVI,-3.473525026015918,1.0,100000
CSVI,-5.763628605143405,1.0,100000
CSVI,16.913501504045943,1.0,100000
CSVI,3.670005047073069,1.0,100000
CSVI,3.560066267695892,1.0,100000
CSVI,-2.6392639129799993,1.0,100000
CSVI,-13.057843410089626,1.0,100000
CSVI,-0.5830695382190624,1.0,100000
CSVI,4.811530972149495,1.0,100000
CSVI,2.6137499276091285,1.0,100000
CSVI,1.1083906532449417,1.0,100000
CSVI,-7.595257855348263,1.0,100000
CSVI,2.563491869111391,1.0,100000
CSVI,5.917748461016777,1.0,100000
CSVI,-18.858051490686808,1.0,100000
CSVI,4.368510351765364,1.0,100000
CSVI,3.27165309093653,1.0,100000
CSVI,0.23622006558676967,1.0,100000
CSVI,-3.2349320413573293,1.0,100000
CSVI,-4.534695469572799,1.0,100000
CSVI,-0.7852417948495676,1.0,100000
CSVI,12.20070513439701,1.0,100000
CSVI,-2.6765432602086223,1.0,100000
CSVI,-3.8412636694031814,1.0,100000
CSVI,6.161391116791755,1.0,100000
CSVI,-2.7385284844704603,1.0,100000
CSVI,6.13661290966593,1.0,100000
CSVI,-15.66708266678559,1.0,100000
CSVI,7.096648874113597,1.0,100000
CSVI,1.1126526593185284,1.0,100000
CSVI,-1.0303700986845827,1.0,100000
CSVI,6.510084238107757,1.0,100000
CSVI,-7.7533297520487725,1.0,100000
CSVI,9.191466092972817,1.0,100000
CSVI,1.9253804970067152,1.0,100000
CSVI,0.07674637352491111,1.0,100000
CSVI,-6.90097432073846,1.0,100000
CSVI,6.282993243863196,1.0,100000
CSVI,0.2493837558252743,1.0,100000
CSVI,3.3637002949394175,1.0,100000
CSVI,0.8220915271181394,1.0,100000
CSVI,6.178554780917628,1.0,100000
CSVI,-12.024246840904194,1.0,100000
CSVI,-18.620746538115824,1.0,100000
CSVI,-8.257461216981842,1.0,100000
CSVI,9.90605647273086,1.0,100000
CSVI,4.442559987442141,1.0,100000
CSVI,-1.4513790066963907,1.0,100000
CSVI,-2.6931149237646235,1.0,100000
CSVI,1.3530785065892355,1.0,100000
CSVI,-0.5874413319532638,1.0,100000
CSVI,-11.785343516287227,1.0,100000
CSVI,-19.05788598685897,1.0,100000
CSVI,-12.230221930952446,1.0,100000
CSVI,14.919660120862963,1.0,100000
CSVI,-7.636565947828798,1.0,100000
CSVI,11.342015729694387,1.0,100000
CSVI,-1.506576794104108,1.0,100000
CSVI,4.321109208883651,1.0,100000
CSVI,-20.84186512585263,1.0,100000
CSVI,-10.930863226933903,1.0,100000
CSVI,-3.1829909765565922,1.0,100000
CSVI,6.289249101265552,1.0,100000
CSVI,11.691012966064353,1.0,100000
CSVI,-5.725605058344905,1.0,100000
CSVI,-6.557082425511207,1.0,100000
CSVI,-6.558301042759916,1.0,100000
CSVI,4.5497361701069705,1.0,100000
CSVI,12.226875474311525,1.0,100000
CSVI,-5.475058006826591,1.0,100000
CSVI,8.139953717663943,1.0,100000
CSVI,10.141466283461781,1.0,100000
CSVI,-9.138236856933682,1.0,100000
CSVI,-7.652094179370856,1.0,100000
CSVI,-16.152771439307728,1.0,100000
CSVI,-5.82587371713281,1.0,100000
CSVI,17.821898942706646,1.0,100000
CSVI,11.107536832195223,1.0,100000
CSVI,-6.241172546847885,1.0,100000
CSVI,-1.1741494504526113,1.0,100000
CSVI,0.009633783002284069,1.0,100000
CSVI,-13.969916721884394,1.0,100000
CSVI,11.473971484506501,1.0,100000
CSVI,7.640600855043539,1.0,100000
CSVI,11.592119345287623,1.0,100000
CSVI,-6.7846180469192054,1.0,100000
CSVI,13.765893816856577,1.0,100000
CSVI,-5.070997652625729,1.0,100000
CSVI,14.887750003404914,1.0,100000
CSVI,-5.630859286971519,1.0,100000
CSVI,-0.8854164002651018,1.0,100000
CSVI,10.138412641975396,1.0,100000
CSVI,-9.487777716659274,1.0,100000
CSVI,-14.257509742321535,1.0,100000
CSVI,6.725954425727994,1.0,10000
CSVI,-1.553151662823392,1.0,10000
CSVI,3.2257888483957107,1.0,10000
CSVI,0.338362209516232,1.0,10000
CSVI,1.7915586921470428,1.0,10000
CSVI,-4.375128864113182,1.0,10000
CSVI,-0.5927195324039711,1.0,10000
CSVI,0.4933845926258798,1.0,10000
CSVI,7.816903062562062,1.0,10000
CSVI,-0.5131257252279147,1.0,10000
CSVI,-6.304927207098792,1.0,10000
CSVI,-2.1680085905043596,1.0,10000
CSVI,-5.156374435137852,1.0,10000
CSVI,-0.6188007577560644,1.0,10000
CSVI,2.625129490423081,1.0,10000
CSVI,0.41077898935138946,1.0,10000
CSVI,1.1421048816181636,1.0,10000
CSVI,-2.90387334427676,1.0,10000
CSVI,-8.888847885524667,1.0,10000
CSVI,-9.389794102917127,1.0,10000
CSVI,-1.3739295825782725,1.0,10000
CSVI,4.859958835610036,1.0,10000
CSVI,0.7155152688599616,1.0,10000
CSVI,5.589886260230272,1.0,10000
CSVI,-0.3101834051866703,1.0,10000
CSVI,0.9127554917091394,1.0,10000
CSVI,-6.054805009713783,1.0,10000
CSVI,6.407122943813015,1.0,10000
CSVI,-1.0825180310625209,1.0,10000
CSVI,-2.729613761953912,1.0,10000
CSVI,-3.7041732549220274,1.0,10000
CSVI,-12.824515407055138,1.0,10000
CSVI,0.30309945598927773,1.0,10000
CSVI,-7.05197967785144,1.0,10000
CSVI,-0.6403142390268091,1.0,10000
CSVI,-10.743898999373192,1.0,10000
CSVI,2.5677915967709555,1.0,10000
CSVI,-4.199434602282691,1.0,10000
CSVI,2.526337303449554,1.0,10000
CSVI,5.1440357461971296,1.0,10000
CSVI,3.741499788413369,1.0,10000
CSVI,5.715915619070757,1.0,10000
CSVI,-0.7623535674705858,1.0,10000
CSVI,-4.374203066293977,1.0,10000
CSVI,-0.01584010661784624,1.0,10000
CSVI,-6.287098496118131,1.0,10000
CSVI,4.450206398932168,1.0,10000
CSVI,-5.907653192025157,1.0,10000
CSVI,-1.0806276939882997,1.0,10000
CSVI,-0.662975748424939,1.0,10000
CSVI,3.004423877129605,1.0,10000
CSVI,6.316049483870045,1.0,10000
CSVI,-4.747381530352467,1.0,10000
CSVI,-6.771566483204161,1.0,10000
CSVI,0.7085002033638895,1.0,10000
CSVI,-1.3528052724888884,1.0,10000
CSVI,-8.403258996362393,1.0,10000
CSVI,-4.733416117011835,1.0,10000
CSVI,4.045697121971085,1.0,10000
CSVI,5.0192410654052635,1.0,10000
CSVI,-6.920256122756563,1.0,10000
CSVI,-5.005244189538934,1.0,10000
CSVI,3.4218243602764296,1.0,10000
CSVI,-1.85448072608128,1.0,10000
CSVI,-2.45815143025618,1.0,10000
CSVI,1.9147493027495517,1.0,10000
CSVI,7.403748281148248,1.0,10000
CSVI,-2.1924934805109286,1.0,10000
CSVI,1.5829049272374724,1.0,10000
CSVI,4.490780142943325,1.0,10000
CSVI,4.301148189382321,1.0,10000
CSVI,3.903892247892645,1.0,10000
CSVI,-1.0188653240140424,1.0,10000
CSVI,-4.237617068007702,1.0,10000
